variable,value
20,0.999960852
20,0.999946612
20,0.995634744
20,0.999040202
20,0.999983922
20,0.99991459
20,0.999976804
20,0.998499439
20,0.987057889
20,0.999974544
20,0.999928348
20,0.986132501
20,0.999984005
20,0.999958219
20,0.999927804
20,0.999938213
20,0.999943465
20,0.999968653
20,0.999830671
20,0.999348594
20,0.9999536
20,0.998617959
20,0.998945088
20,0.999855731
20,0.987515927
20,0.999977635
20,0.999851191
20,0.999842692
20,0.999951172
20,0.999354136
20,0.995003854
20,0.999831679
20,0.998305097
20,0.953595557
20,0.99804986
20,0.999925625
20,0.99995006
20,0.99993679
20,0.999937616
20,0.999986084
20,0.999463404
20,0.999489719
20,0.999991146
20,0.966874926
20,0.999925131
20,0.999967937
20,0.999953304
20,0.999971706
20,0.999867092
20,0.999984759
50,0.997662833
50,0.999866874
50,0.999948004
50,0.999985256
50,0.999938102
50,0.965778327
50,0.999918451
50,0.999931072
50,0.999839001
50,0.999988205
50,0.999953569
50,0.999918881
50,0.999880733
50,0.999962333
50,0.999905689
50,0.984437451
50,0.999011229
50,0.945588555
50,0.999276228
50,0.99917056
50,0.999812927
50,0.999979625
50,0.99982236
50,0.993466966
50,0.999983548
50,0.999983066
50,0.999975624
50,0.999215621
50,0.999798294
50,0.999957188
50,0.999934333
50,0.999984683
50,0.999682828
50,0.999978609
50,0.999297713
50,0.997895271
50,0.998990683
50,0.999777679
50,0.99990902
50,0.999468532
50,0.99896584
50,0.999816526
50,0.928447435
50,0.998244195
50,0.999962644
50,0.998560269
50,0.999981718
50,0.999719688
50,0.999954504
50,0.999975295
75,0.999973441
75,0.99994731
75,0.998895619
75,0.999970596
75,0.999990226
75,0.99994435
75,0.999974766
75,0.99973383
75,0.999980383
75,0.999979333
75,0.999618448
75,0.999980424
75,0.999974555
75,0.999984861
75,0.999956738
75,0.999947639
75,0.999982493
75,0.99730926
75,0.999992268
75,0.999712232
75,0.468122368
75,0.998495408
75,0.99997487
75,0.997628809
75,0.999639919
75,0.99999151
75,0.996438315
75,0.996327997
75,0.999961599
75,0.999854569
75,0.999940947
75,0.999055156
75,0.998137519
75,0.999680076
75,0.999869938
75,0.985981992
75,0.999807983
75,0.999980967
75,0.999865226
75,0.998229231
75,0.999995342
75,0.999987837
75,0.999959261
75,0.9999768
75,0.999616557
75,0.999799511
75,0.999933214
75,0.999965083
75,0.999042554
75,0.998205551
125,0.999952844
125,0.999845335
125,0.999852236
125,0.999815668
125,0.999954066
125,0.99977539
125,0.999153927
125,0.999899402
125,0.999950014
125,0.997671125
125,0.999963022
125,0.999984955
125,0.999838151
125,0.999861038
125,0.999977956
125,0.865599542
125,0.999905188
125,0.999975818
125,0.998781725
125,0.999967106
125,0.999911293
125,0.881881215
125,0.968165377
125,0.999796406
125,0.999949957
125,0.999867654
125,0.999947063
125,0.813548936
125,0.999391483
125,0.999920564
125,0.999887439
125,0.999864317
125,0.999979579
125,0.996313001
125,0.972225205
125,0.999941872
125,0.999978255
125,0.999970311
125,0.999964008
125,0.999814359
125,0.999614004
125,0.999969592
125,0.999275307
125,0.999931019
125,0.999866594
125,0.999721473
125,0.999990923
125,0.999949827
125,0.999909595
125,0.999470274
175,0.999876745
175,0.993004149
175,0.999970565
175,0.999849416
175,0.999992694
175,0.999178021
175,0.999794975
175,0.921124291
175,0.999939522
175,0.999217229
175,0.999815018
175,0.849299019
175,0.999976192
175,0.993165173
175,0.999914356
175,0.978960974
175,0.999746468
175,0.999990902
175,0.999761009
175,0.999898884
175,0.999229878
175,0.999859882
175,0.999690393
175,0.999720711
175,0.999934404
175,0.999109343
175,0.999542052
175,0.999250621
175,0.999824087
175,0.999947819
175,0.999993352
175,0.999909631
175,0.999974476
175,0.999942308
175,0.945716212
175,0.999972416
175,0.999939053
175,0.999765948
175,0.999970908
175,0.999874146
175,0.999692354
175,0.99735211
175,0.99979486
175,0.999781146
175,0.993767839
175,0.999845244
175,0.999873367
175,0.999821226
175,0.999586515
175,0.999772611
200,0.999989643
200,0.999610783
200,0.999969258
200,0.998824543
200,0.999899033
200,0.999602669
200,0.999964308
200,0.910820643
200,0.99992394
200,0.999975601
200,0.996152051
200,0.999218976
200,0.999978474
200,0.999985777
200,0.999984778
200,0.999967551
200,0.993165805
200,0.99918378
200,0.999515141
200,0.999896528
200,0.999982572
200,0.999868945
200,0.999348854
200,0.998772441
200,0.99998793
200,0.999981454
200,0.990699056
200,0.999933249
200,0.997221258
200,0.99957285
200,0.999921923
200,0.999986013
200,0.999974505
200,0.999991171
200,0.999634555
200,0.999892227
200,0.999794001
200,0.999566616
200,0.989898305
200,0.999964508
200,0.999971507
200,0.015742509
200,0.99989376
200,0.999932877
200,0.999966514
200,0.999986526
200,0.999975188
200,0.999170544
200,0.999962346
200,0.999926149